"Date","Price","Open","High","Low","Vol.","Change %"
"03-07-2023","316.00","316.00","316.00","316.00","","-0.94%"
"30-06-2023","319.00","319.00","319.00","319.00","","11.73%"
"29-06-2023","285.50","285.50","285.50","285.50","","0.00%"
"28-06-2023","285.50","285.50","285.50","285.50","","0.00%"
"27-06-2023","285.50","285.50","285.50","285.50","","0.00%"
"26-06-2023","285.50","285.50","285.50","285.50","","0.00%"
"23-06-2023","285.50","285.50","285.50","285.50","","0.00%"
"22-06-2023","285.50","285.50","285.50","285.50","","0.00%"
"21-06-2023","285.50","285.50","285.50","285.50","","0.00%"
"20-06-2023","285.50","285.50","285.50","285.50","","0.00%"
"16-06-2023","285.50","285.50","285.50","285.50","","-0.52%"
"15-06-2023","287.00","287.00","287.00","287.00","","0.53%"
"14-06-2023","285.50","285.50","285.50","285.50","","-0.17%"
"13-06-2023","286.00","286.00","286.00","286.00","","0.00%"
"12-06-2023","286.00","286.00","286.00","286.00","","-0.87%"
"09-06-2023","288.50","288.50","288.50","288.50","","-0.52%"
"08-06-2023","290.00","290.00","290.00","290.00","","0.00%"
"07-06-2023","290.00","290.00","290.00","290.00","","0.00%"
"06-06-2023","290.00","290.00","290.00","290.00","","0.00%"
"05-06-2023","290.00","290.00","290.00","290.00","","0.00%"
"02-06-2023","290.00","290.00","290.00","290.00","","2.29%"
"01-06-2023","283.50","283.50","283.50","283.50","","0.35%"
"31-05-2023","282.50","282.50","282.50","282.50","","-3.42%"
"30-05-2023","292.50","292.50","292.50","292.50","","0.86%"
"26-05-2023","290.00","290.00","290.00","290.00","","-9.48%"
"25-05-2023","320.38","320.38","320.38","320.38","","-0.19%"
"24-05-2023","321.00","321.00","321.00","321.00","","0.00%"
"23-05-2023","321.00","321.00","321.00","321.00","","0.00%"
"22-05-2023","321.00","321.00","321.00","321.00","","0.00%"
"19-05-2023","321.00","321.00","321.00","321.00","","-0.47%"
"18-05-2023","322.50","322.50","322.50","322.50","","0.00%"
"17-05-2023","322.50","322.50","322.50","322.50","","0.00%"
"16-05-2023","322.50","322.50","322.50","322.50","","0.00%"
"15-05-2023","322.50","322.50","322.50","322.50","","1.57%"
"12-05-2023","317.50","317.50","317.50","317.50","","0.00%"
"11-05-2023","317.50","317.50","317.50","317.50","0.05K","-3.05%"
"10-05-2023","327.50","327.50","327.50","327.50","","-0.46%"
"09-05-2023","329.00","329.00","329.00","329.00","","0.00%"
"08-05-2023","329.00","329.00","329.00","329.00","","0.00%"
"05-05-2023","329.00","329.00","329.00","329.00","","2.02%"
"04-05-2023","322.50","322.50","322.50","322.50","","-2.27%"
"03-05-2023","330.00","330.00","330.00","330.00","","-0.75%"
"02-05-2023","332.50","332.50","332.50","332.50","","0.00%"
"01-05-2023","332.50","332.50","332.50","332.50","","0.00%"
"28-04-2023","332.50","332.50","332.50","332.50","","6.70%"
"27-04-2023","311.63","311.63","311.63","311.63","","1.34%"
"26-04-2023","307.50","307.50","307.50","307.50","","0.00%"
"25-04-2023","307.50","307.50","307.50","307.50","","0.00%"
"24-04-2023","307.50","307.50","307.50","307.50","","0.82%"
"21-04-2023","305.00","305.00","305.00","305.00","","1.67%"
"20-04-2023","300.00","300.00","300.00","300.00","","0.00%"
"19-04-2023","300.00","300.00","300.00","300.00","","0.00%"
"18-04-2023","300.00","300.00","300.00","300.00","","0.00%"
"17-04-2023","300.00","300.00","300.00","300.00","","-1.64%"
"14-04-2023","305.00","305.00","305.00","305.00","","0.00%"
"13-04-2023","305.00","305.00","305.00","305.00","","0.83%"
"12-04-2023","302.50","302.50","302.50","302.50","","0.00%"
"11-04-2023","302.50","302.50","302.50","302.50","","0.83%"
"10-04-2023","300.00","300.00","300.00","300.00","","0.84%"
"07-04-2023","297.50","297.50","297.50","297.50","","0.00%"
"06-04-2023","297.50","297.50","297.50","297.50","","0.85%"
"05-04-2023","295.00","295.00","295.00","295.00","","0.00%"
"04-04-2023","295.00","295.00","295.00","295.00","","1.03%"
"03-04-2023","292.00","292.00","292.00","292.00","","-1.02%"
"31-03-2023","295.00","295.00","295.00","295.00","","-5.60%"
"10-03-2023","312.50","312.50","312.50","312.50","","0.00%"
"09-03-2023","312.50","312.50","312.50","312.50","0.05K","-2.50%"
"08-03-2023","320.50","320.50","320.50","320.50","","-0.47%"
"07-03-2023","322.00","322.00","322.00","322.00","0.05K","-2.42%"
"06-03-2023","330.00","330.00","330.00","330.00","","-0.75%"
"03-03-2023","332.50","332.50","332.50","332.50","","0.00%"
"02-03-2023","332.50","332.50","332.50","332.50","","0.00%"
"01-03-2023","332.50","332.50","332.50","332.50","","0.45%"
"28-02-2023","331.00","331.00","331.00","331.00","","-1.93%"
"27-02-2023","337.50","337.50","337.50","337.50","","-1.46%"
"24-02-2023","342.50","342.50","342.50","342.50","","-2.73%"
"23-02-2023","352.13","352.13","352.13","352.13","","-1.64%"
"22-02-2023","358.00","358.00","358.00","358.00","","0.00%"
"21-02-2023","358.00","358.00","358.00","358.00","","0.00%"
"17-02-2023","358.00","358.00","358.00","358.00","","0.14%"
"16-02-2023","357.50","357.50","357.50","357.50","","0.00%"
"15-02-2023","357.50","357.50","357.50","357.50","","0.00%"
"14-02-2023","357.50","357.50","357.50","357.50","","0.00%"
"13-02-2023","357.50","357.50","357.50","357.50","","0.00%"
"10-02-2023","357.50","357.50","357.50","357.50","","-0.69%"
"09-02-2023","360.00","360.00","360.00","360.00","","-1.37%"
"08-02-2023","365.00","365.00","365.00","365.00","","-2.01%"
"07-02-2023","372.50","372.50","372.50","372.50","","-2.61%"
"06-02-2023","382.50","382.50","382.50","382.50","","-1.29%"
"03-02-2023","387.50","387.50","387.50","387.50","","0.00%"
"02-02-2023","387.50","387.50","387.50","387.50","","1.31%"
"01-02-2023","382.50","382.50","382.50","382.50","","0.00%"
"31-01-2023","382.50","382.50","382.50","382.50","","0.00%"
"30-01-2023","382.50","382.50","382.50","382.50","","-1.29%"
"27-01-2023","387.50","387.50","387.50","387.50","","-10.40%"
"26-01-2023","432.50","432.50","432.50","432.50","","-1.93%"
"25-01-2023","441.00","441.00","441.00","441.00","","0.00%"
"24-01-2023","441.00","441.00","441.00","441.00","","0.00%"
"23-01-2023","441.00","441.00","441.00","441.00","","0.00%"
"20-01-2023","441.00","441.00","441.00","441.00","","-1.34%"
"19-01-2023","447.00","447.00","447.00","447.00","","-0.89%"
"18-01-2023","451.00","451.00","451.00","451.00","","0.89%"
"17-01-2023","447.00","447.00","447.00","447.00","","-3.87%"
"13-01-2023","465.00","465.00","465.00","465.00","","0.00%"
"12-01-2023","465.00","465.00","465.00","465.00","","0.00%"
"11-01-2023","465.00","465.00","465.00","465.00","","0.00%"
"10-01-2023","465.00","465.00","465.00","465.00","","0.54%"
"09-01-2023","462.50","462.50","462.50","462.50","","0.00%"
"06-01-2023","462.50","462.50","462.50","462.50","","0.00%"
"05-01-2023","462.50","462.50","462.50","462.50","","0.00%"
"04-01-2023","462.50","462.50","462.50","462.50","","-1.07%"
"03-01-2023","467.50","467.50","467.50","467.50","","-3.11%"
"30-12-2022","482.50","482.50","482.50","482.50","","0.00%"
"29-12-2022","482.50","482.50","482.50","482.50","","1.58%"
"28-12-2022","475.00","475.00","475.00","475.00","","0.00%"
"27-12-2022","475.00","475.00","475.00","475.00","","0.00%"
"23-12-2022","475.00","475.00","475.00","475.00","","-3.55%"
"22-12-2022","492.50","492.50","492.50","492.50","","-1.50%"
"21-12-2022","500.00","500.00","500.00","500.00","","0.00%"
"20-12-2022","500.00","500.00","500.00","500.00","","0.00%"
"19-12-2022","500.00","500.00","500.00","500.00","","-0.50%"
"16-12-2022","502.50","502.50","502.50","502.50","","0.00%"
"15-12-2022","502.50","502.50","502.50","502.50","","-0.50%"
"14-12-2022","505.00","505.00","505.00","505.00","","0.00%"
"13-12-2022","505.00","505.00","505.00","505.00","","-0.98%"
"12-12-2022","510.00","510.00","510.00","510.00","","0.00%"
"09-12-2022","510.00","510.00","510.00","510.00","","0.00%"
"08-12-2022","510.00","510.00","510.00","510.00","","0.00%"
"07-12-2022","510.00","510.00","510.00","510.00","","-0.49%"
"06-12-2022","512.50","512.50","512.50","512.50","","0.00%"
"05-12-2022","512.50","512.50","512.50","512.50","","0.00%"
"02-12-2022","512.50","512.50","512.50","512.50","","-0.49%"
"01-12-2022","515.00","515.00","515.00","515.00","","0.00%"
"30-11-2022","515.00","515.00","515.00","515.00","","1.98%"
"29-11-2022","505.00","505.00","505.00","505.00","","-5.16%"
"28-11-2022","532.50","532.50","532.50","532.50","","-2.74%"
"25-11-2022","547.50","547.50","547.50","547.50","0.05K","-6.89%"
"23-11-2022","588.00","588.00","588.00","588.00","","0.00%"
"22-11-2022","588.00","588.00","588.00","588.00","","0.00%"
"21-11-2022","588.00","588.00","588.00","588.00","","0.00%"
"18-11-2022","588.00","588.00","588.00","588.00","","0.51%"
"17-11-2022","585.00","585.00","585.00","585.00","","0.00%"
"16-11-2022","585.00","585.00","585.00","585.00","","0.00%"
"15-11-2022","585.00","585.00","585.00","585.00","","0.00%"
"14-11-2022","585.00","585.00","585.00","585.00","","0.00%"
"11-11-2022","585.00","585.00","585.00","585.00","","0.86%"
"10-11-2022","580.00","580.00","580.00","580.00","0.05K","-3.33%"
"09-11-2022","600.00","600.00","600.00","600.00","","-1.64%"
"08-11-2022","610.00","610.00","610.00","610.00","","-0.81%"
"07-11-2022","615.00","615.00","615.00","615.00","","-0.40%"
"04-11-2022","617.50","617.50","617.50","617.50","","-2.76%"
"03-11-2022","635.00","635.00","635.00","635.00","0.02K","6.72%"
"02-11-2022","595.00","595.00","595.00","595.00","","6.25%"
"01-11-2022","560.00","560.00","560.00","560.00","0.05K","-6.28%"
"31-10-2022","597.50","597.50","597.50","597.50","0.03K","3.37%"
"28-10-2022","578.00","578.00","578.00","578.00","0.05K","-8.49%"
"27-10-2022","631.63","631.63","631.63","631.63","","0.66%"
"26-10-2022","627.50","627.50","627.50","627.50","","0.00%"
"25-10-2022","627.50","627.50","627.50","627.50","","0.00%"
"24-10-2022","627.50","627.50","627.50","627.50","","-0.40%"
"21-10-2022","630.00","630.00","630.00","630.00","","-0.16%"
"20-10-2022","631.00","631.00","631.00","631.00","0.02K","-0.47%"
"19-10-2022","634.00","634.00","634.00","634.00","","0.00%"
"18-10-2022","634.00","634.00","634.00","634.00","","0.00%"
"17-10-2022","634.00","634.00","634.00","634.00","","-0.63%"
"14-10-2022","638.00","638.00","638.00","638.00","","2.49%"
"13-10-2022","622.50","622.50","622.50","622.50","","-2.73%"
"12-10-2022","640.00","640.00","640.00","640.00","","-0.78%"
"11-10-2022","645.00","645.00","645.00","645.00","","0.00%"
"10-10-2022","645.00","645.00","645.00","645.00","","0.00%"
"07-10-2022","645.00","645.00","645.00","645.00","","0.78%"
"06-10-2022","640.00","640.00","640.00","640.00","","-0.78%"
"05-10-2022","645.00","645.00","645.00","645.00","","3.20%"
