"Date","Price","Open","High","Low","Vol.","Change %"
"05-04-2016","1,900","1,900","1,900","1,900","0.10K","11.76%"
"04-04-2016","1,700","1,700","1,900","1,700","22.10K","-15.00%"
"01-04-2016","2,000","2,000","2,000","2,000","1.00K","-9.09%"
"31-03-2016","2,200","2,300","2,300","2,100","28.92K","10.00%"
"30-03-2016","2,000","2,000","2,000","2,000","27.00K","11.11%"
"29-03-2016","1,800","1,700","1,800","1,700","30.00K","12.50%"
"28-03-2016","1,600","1,500","1,600","1,500","6.90K","14.29%"
"22-03-2016","1,400","1,400","1,400","1,400","1.50K","7.69%"
"18-03-2016","1,300","1,300","1,300","1,300","4.00K","8.33%"
"17-03-2016","1,200","1,200","1,200","1,200","5.00K","-7.69%"
"16-03-2016","1,300","1,300","1,300","1,300","1.00K","8.33%"
"15-03-2016","1,200","1,200","1,200","1,200","4.90K","0.00%"
"04-03-2016","1,200","1,200","1,200","1,200","1.50K","-14.29%"
"29-02-2016","1,400","1,400","1,400","1,400","1.40K","7.69%"
"25-02-2016","1,300","1,300","1,300","1,300","0.10K","8.33%"
"24-02-2016","1,200","1,200","1,200","1,200","0.10K","9.09%"
"23-02-2016","1,100","1,100","1,100","1,100","1.00K","-8.33%"
"17-02-2016","1,200","1,200","1,200","1,200","0.50K","9.09%"
"27-01-2016","1,100","1,100","1,100","1,100","0.20K","0.00%"
"22-01-2016","1,100","1,100","1,100","1,100","0.10K","0.00%"
"21-01-2016","1,100","1,100","1,100","1,100","5.00K","-8.33%"
"14-01-2016","1,200","1,200","1,200","1,200","2.20K","-7.69%"
"07-01-2016","1,300","1,300","1,300","1,300","2.00K","0.00%"
"06-01-2016","1,300","1,400","1,400","1,300","4.40K","-13.33%"
"15-12-2015","1,500","1,500","1,500","1,500","0.20K","-11.76%"
"11-12-2015","1,700","1,700","1,700","1,700","0.20K","13.33%"
"27-11-2015","1,500","1,500","1,500","1,500","2.00K","0.00%"
"26-11-2015","1,500","1,500","1,500","1,500","0.40K","7.14%"
"24-11-2015","1,400","1,400","1,400","1,400","0.20K","-36.36%"
"27-08-2015","2,200","2,200","2,200","2,200","0.10K","-12.00%"
"14-08-2015","2,500","2,500","2,500","2,500","0.20K","0.00%"
"16-07-2015","2,500","2,300","2,500","2,300","0.60K","13.64%"
"08-07-2015","2,200","2,200","2,200","2,200","0.50K","4.76%"
"07-07-2015","2,100","2,100","2,100","2,100","0.40K","10.53%"
"02-07-2015","1,900","1,900","1,900","1,900","4.50K","11.76%"
"19-06-2015","1,700","1,700","1,700","1,700","1.50K","-10.53%"
"17-06-2015","1,900","1,900","1,900","1,700","0.50K","5.56%"
"09-06-2015","1,800","1,800","1,800","1,800","0.10K","5.88%"
"08-06-2015","1,700","1,700","1,700","1,700","3.00K","13.33%"
"04-06-2015","1,500","1,700","1,700","1,500","0.60K","-6.25%"
"03-06-2015","1,600","1,600","1,600","1,600","0.40K","0.00%"
"01-06-2015","1,600","1,600","1,600","1,600","1.30K","0.00%"
"29-05-2015","1,600","1,600","1,600","1,600","0.10K","6.67%"
